pop,mf,rep,Genotype,block,death.date,elevation.group,elev_m,Lat,Long,GD_Recent_Wtr_Year_2023,GD_Historic_Wtr_Year_2023,GD_Recent_GrwSsn_2023,GD_Historic_GrwSsn_2023,GD_Recent_Wtr_Year_2024,GD_Historic_Wtr_Year_2024,GD_Recent_GrwSsn_2024,GD_Historic_GrwSsn_2024,AvgGD_Historic_Growth Season,AvgGD_Historic_Water Year,AvgGD_Recent_Growth Season,AvgGD_Recent_Water Year,TempDist_Historic_GrwSsn_2023,TempDist_Historic_GrwSsn_2024,TempDist_Historic_Wtr_Year_2023,TempDist_Historic_Wtr_Year_2024,TempDist_Recent_GrwSsn_2023,TempDist_Recent_GrwSsn_2024,TempDist_Recent_Wtr_Year_2023,TempDist_Recent_Wtr_Year_2024,PPTDist_Historic_GrwSsn_2023,PPTDist_Historic_GrwSsn_2024,PPTDist_Historic_Wtr_Year_2023,PPTDist_Historic_Wtr_Year_2024,PPTDist_Recent_GrwSsn_2023,PPTDist_Recent_GrwSsn_2024,PPTDist_Recent_Wtr_Year_2023,PPTDist_Recent_Wtr_Year_2024,AvgTempDist_Historic_GrwSsn,AvgTempDist_Historic_Wtr_Year,AvgTempDist_Recent_GrwSsn,AvgTempDist_Recent_Wtr_Year,AvgPPTDist_Historic_GrwSsn,AvgPPTDist_Historic_Wtr_Year,AvgPPTDist_Recent_GrwSsn,AvgPPTDist_Recent_Wtr_Year,Geographic_Dist,Elev_Dist,SurvtoRep_y2
CC,3,3,CC_3_3,A,6/18/24,low,313,39.58597,-121.43311,0.6005055940209751,0.5678962134821955,0.3285378893997665,0.2994301249304452,0.4459084678587209,0.4067782720935577,0.4031298735462368,0.3887795429544227,0.34410483394243396,0.4873372427878766,0.36583388147300167,0.523207030939848,1.8744126382876376,-0.85725402837903,8.992916666666666,6.96125,2.406263690476191,-0.3254029761904764,9.72473611111111,7.693069444444443,516.3016666666667,686.2816666666668,-1502.6400000000003,-210.32000000000005,541.1416633333333,711.1216633333333,-1472.4146700000006,-180.09467000000006,0.5085793049543037,7.977083333333333,1.0404303571428573,8.708902777777777,601.2916666666667,-856.4800000000002,626.1316633333333,-826.2546700000003,132498.41828627142,-1707.1158,0
BH,3,3,BH_3_3,A,6/18/24,low,511.4294422,37.40985,-119.96458,0.6949740261997579,0.6403725137687,0.2625052447535473,0.23960929391108984,0.5735684452849578,0.517408894579186,0.3644878681935851,0.368834632050797,0.3042219629809434,0.5788907041739431,0.3134965564735662,0.6342712357423579,0.9368115079365076,-1.7948551587301598,8.41011111111111,6.378444444444444,1.799059722222223,-0.9326069444444444,9.313111111111112,7.281444444444446,132.69666666666672,302.67666666666673,-1905.5136666666672,-613.1936666666667,131.49,301.47,-1903.355333333334,-611.0353333333334,-0.4290218253968261,7.394277777777777,0.4332263888888894,8.29727777777778,217.68666666666672,-1259.3536666666669,216.48,-1257.1953333333336,159625.59620443787,-1508.6863578,0
BH,7,3,BH_7_3,A,10/2/24,low,511.4294422,37.40985,-119.96458,0.6949740261997579,0.6403725137687,0.2625052447535473,0.23960929391108984,0.5735684452849578,0.517408894579186,0.3644878681935851,0.368834632050797,0.3042219629809434,0.5788907041739431,0.3134965564735662,0.6342712357423579,0.9368115079365076,-1.7948551587301598,8.41011111111111,6.378444444444444,1.799059722222223,-0.9326069444444444,9.313111111111112,7.281444444444446,132.69666666666672,302.67666666666673,-1905.5136666666672,-613.1936666666667,131.49,301.47,-1903.355333333334,-611.0353333333334,-0.4290218253968261,7.394277777777777,0.4332263888888894,8.29727777777778,217.68666666666672,-1259.3536666666669,216.48,-1257.1953333333336,159625.59620443787,-1508.6863578,1
BH,4,3,BH_4_3,A,8/20/24,low,511.4294422,37.40985,-119.96458,0.6949740261997579,0.6403725137687,0.2625052447535473,0.23960929391108984,0.5735684452849578,0.517408894579186,0.3644878681935851,0.368834632050797,0.3042219629809434,0.5788907041739431,0.3134965564735662,0.6342712357423579,0.9368115079365076,-1.7948551587301598,8.41011111111111,6.378444444444444,1.799059722222223,-0.9326069444444444,9.313111111111112,7.281444444444446,132.69666666666672,302.67666666666673,-1905.5136666666672,-613.1936666666667,131.49,301.47,-1903.355333333334,-611.0353333333334,-0.4290218253968261,7.394277777777777,0.4332263888888894,8.29727777777778,217.68666666666672,-1259.3536666666669,216.48,-1257.1953333333336,159625.59620443787,-1508.6863578,1
WL2,7,9,WL2_7_9,A,10/2/24,high,2020.115818,38.8263,-120.25242,0.3611658957591866,0.4125069405795862,0.24500345759380013,0.24633632234546937,0.14537075724061083,0.16194995856561892,0.24695752578486943,0.2888491720709349,0.26759274720820214,0.2872284495726026,0.2459804916893348,0.2532683264998987,-0.5396964285714283,-3.2713630952380957,0.5167361111111113,-1.514930555555556,0.11881672077922012,-2.6128499458874472,1.6352916666666664,-0.3963750000000008,51.081666666666706,221.0616666666667,-1227.520676666667,64.7993233333334,107.33533000000006,277.31533,-1201.3210233333336,90.99897666666676,-1.905529761904762,-0.4990972222222223,-1.2470166125541136,0.6194583333333328,136.07166666666672,-581.3606766666668,192.32533000000004,-555.1610233333334,136.2621716836303,1.799999995455437e-5,1
IH,7,4,IH_7_4,B,10/2/24,low,454.1298385,39.09332,-120.92114,0.5482840711738002,0.5286199318311582,0.3846404746991534,0.3578234739091723,0.4197109245736825,0.36950347851437854,0.4058688981432469,0.39722888596352823,0.3775261799363503,0.44906170517276833,0.39525468642120015,0.48399749787374136,2.6233617845117845,-0.10830488215488288,7.832569444444444,5.800902777777777,3.4202053030303023,0.688538636363635,8.510055555555557,6.4783888888888885,604.4896600000001,774.4696600000001,-1428.3606733333338,-136.04067333333342,606.7846633333334,776.7646633333334,-1413.3156700000004,-120.99567000000002,1.2575284511784508,6.81673611111111,2.0543719696969687,7.494222222222223,689.4796600000001,-782.2006733333336,691.7746633333334,-767.1556700000002,65203.39531640123,-1565.9859615,1
SC,8,4,SC_8_4,B,10/2/24,low,421.5178299,38.41167,-120.73583000000001,0.6268075867777348,0.6420805618702625,0.26693769157362146,0.2692804056885084,0.4951021748097515,0.4706583530426097,0.3932639844164157,0.3922197833183558,0.33075009450343207,0.5563694574564362,0.33010083799501855,0.5609548807937432,1.0594540343915335,-1.6722126322751336,8.341652777777778,6.30998611111111,1.5031319444444442,-1.2285347222222232,8.810416666666669,6.7787500000000005,296.1576666666667,466.13766666666675,-1744.1830000000004,-451.86300000000006,323.9033333333333,493.8833333333333,-1696.0340000000006,-403.71400000000006,-0.30637929894179994,7.325819444444444,0.13729861111111052,7.7945833333333345,381.14766666666674,-1098.023,408.8933333333333,-1049.8740000000005,62498.87463150152,-1598.5979701,1
BH,3,4,BH_3_4,B,10/2/24,low,511.4294422,37.40985,-119.96458,0.6949740261997579,0.6403725137687,0.2625052447535473,0.23960929391108984,0.5735684452849578,0.517408894579186,0.3644878681935851,0.368834632050797,0.3042219629809434,0.5788907041739431,0.3134965564735662,0.6342712357423579,0.9368115079365076,-1.7948551587301598,8.41011111111111,6.378444444444444,1.799059722222223,-0.9326069444444444,9.313111111111112,7.281444444444446,132.69666666666672,302.67666666666673,-1905.5136666666672,-613.1936666666667,131.49,301.47,-1903.355333333334,-611.0353333333334,-0.4290218253968261,7.394277777777777,0.4332263888888894,8.29727777777778,217.68666666666672,-1259.3536666666669,216.48,-1257.1953333333336,159625.59620443787,-1508.6863578,1
WL2,7,10,WL2_7_10,B,10/2/24,high,2020.115818,38.8263,-120.25242,0.3611658957591866,0.4125069405795862,0.24500345759380013,0.24633632234546937,0.14537075724061083,0.16194995856561892,0.24695752578486943,0.2888491720709349,0.26759274720820214,0.2872284495726026,0.2459804916893348,0.2532683264998987,-0.5396964285714283,-3.2713630952380957,0.5167361111111113,-1.514930555555556,0.11881672077922012,-2.6128499458874472,1.6352916666666664,-0.3963750000000008,51.081666666666706,221.0616666666667,-1227.520676666667,64.7993233333334,107.33533000000006,277.31533,-1201.3210233333336,90.99897666666676,-1.905529761904762,-0.4990972222222223,-1.2470166125541136,0.6194583333333328,136.07166666666672,-581.3606766666668,192.32533000000004,-555.1610233333334,136.2621716836303,1.799999995455437e-5,1
IH,2,4,IH_2_4,B,10/16/24,low,454.1298385,39.09332,-120.92114,0.5482840711738002,0.5286199318311582,0.3846404746991534,0.3578234739091723,0.4197109245736825,0.36950347851437854,0.4058688981432469,0.39722888596352823,0.3775261799363503,0.44906170517276833,0.39525468642120015,0.48399749787374136,2.6233617845117845,-0.10830488215488288,7.832569444444444,5.800902777777777,3.4202053030303023,0.688538636363635,8.510055555555557,6.4783888888888885,604.4896600000001,774.4696600000001,-1428.3606733333338,-136.04067333333342,606.7846633333334,776.7646633333334,-1413.3156700000004,-120.99567000000002,1.2575284511784508,6.81673611111111,2.0543719696969687,7.494222222222223,689.4796600000001,-782.2006733333336,691.7746633333334,-767.1556700000002,65203.39531640123,-1565.9859615,1
